"time","BPOST","BPOST( volume )"
"2013-06-21 02:00","14.55","14006429"
"2013-06-24 02:00","14.5","2587604"
"2013-06-25 02:00","14.5","2183242"
"2013-06-26 02:00","14.5","1278206"
"2013-06-27 02:00","14.39","1026463"
"2013-06-28 02:00","14.28","697399"
"2013-07-01 02:00","14.3","686641"
"2013-07-02 02:00","14.46","789063"
"2013-07-03 02:00","14.25","558348"
"2013-07-04 02:00","14.47","403030"
"2013-07-05 02:00","14.42","173057"
"2013-07-08 02:00","14.32","247690"
"2013-07-09 02:00","14.34","216016"
"2013-07-10 02:00","14.29","355715"
"2013-07-11 02:00","14.4","189234"
"2013-07-12 02:00","14.43","201525"
"2013-07-15 02:00","14.43","66426"
"2013-07-16 02:00","14.37","246573"
"2013-07-17 02:00","14.33","153107"
"2013-07-18 02:00","14.31","116345"
"2013-07-19 02:00","14.39","246390"
"2013-07-22 02:00","14.42","189577"
"2013-07-23 02:00","14.4","230864"
"2013-07-24 02:00","14.4","178727"
"2013-07-25 02:00","14.39","172480"
"2013-07-26 02:00","14.39","179759"
"2013-07-29 02:00","14.38","119903"
"2013-07-30 02:00","14.34","206529"
"2013-07-31 02:00","14.34","254525"
"2013-08-01 02:00","14.4","142844"
"2013-08-02 02:00","14.37","267482"
"2013-08-05 02:00","14.38","217757"
"2013-08-06 02:00","14.39","392260"
"2013-08-07 02:00","14.29","483222"
"2013-08-08 02:00","13.7","1215157"
"2013-08-09 02:00","13.84","566333"
"2013-08-12 02:00","14.43","258652"
"2013-08-13 02:00","14.68","493227"
"2013-08-14 02:00","14.82","361347"
"2013-08-15 02:00","14.71","329365"
"2013-08-16 02:00","14.89","285982"
"2013-08-19 02:00","14.86","294715"
"2013-08-20 02:00","14.87","384862"
"2013-08-21 02:00","14.7","308269"
"2013-08-22 02:00","14.7","253231"
"2013-08-23 02:00","14.7","398255"
"2013-08-26 02:00","14.7","205461"
"2013-08-27 02:00","14.74","394416"
"2013-08-28 02:00","14.72","286906"
"2013-08-29 02:00","14.76","146999"
"2013-08-30 02:00","14.73","131967"
"2013-09-02 02:00","14.88","167960"
"2013-09-03 02:00","14.71","128875"
"2013-09-04 02:00","14.62","171034"
"2013-09-05 02:00","14.7","278222"
"2013-09-06 02:00","14.47","218607"
"2013-09-09 02:00","14.53","226632"
"2013-09-10 02:00","14.55","234787"
"2013-09-11 02:00","14.46","194036"
"2013-09-12 02:00","14.16","289807"
"2013-09-13 02:00","14.13","274706"
"2013-09-16 02:00","14.28","192105"
"2013-09-17 02:00","14.16","103271"
"2013-09-18 02:00","14.17","168866"
"2013-09-19 02:00","14.19","269747"
"2013-09-20 02:00","14.1","182587"
"2013-09-23 02:00","14.1","137824"
"2013-09-24 02:00","14.1","129854"
"2013-09-25 02:00","14.1","255817"
"2013-09-26 02:00","14.12","91423"
"2013-09-27 02:00","14.08","190397"
"2013-09-30 02:00","14.14","212955"
"2013-10-01 02:00","14.24","159111"
"2013-10-02 02:00","14.14","262547"
"2013-10-03 02:00","14.26","169439"
"2013-10-04 02:00","14.41","181823"
"2013-10-07 02:00","14.48","118202"
"2013-10-08 02:00","14.22","87929"
"2013-10-09 02:00","13.98","232992"
"2013-10-10 02:00","13.97","307821"
"2013-10-11 02:00","14.4","322081"
"2013-10-14 02:00","14.32","119893"
"2013-10-15 02:00","14.69","268633"
"2013-10-16 02:00","14.67","250184"
"2013-10-17 02:00","14.77","197466"
"2013-10-18 02:00","14.7","193126"
"2013-10-21 02:00","14.53","115091"
"2013-10-22 02:00","14.7","294745"
"2013-10-23 02:00","14.89","196796"
"2013-10-24 02:00","15.07","429973"
"2013-10-25 02:00","14.95","182460"
"2013-10-28 01:00","15.29","620573"
"2013-10-29 01:00","15.3","171946"
"2013-10-30 01:00","15.25","281164"
"2013-10-31 01:00","15.49","341264"
"2013-11-01 01:00","15.66","237628"
"2013-11-04 01:00","15.4","435259"
"2013-11-05 01:00","15.57","447546"
"2013-11-06 01:00","15.82","305809"
"2013-11-07 01:00","15.74","233667"
"2013-11-08 01:00","15.8","671743"
"2013-11-11 01:00","16.19","418684"
"2013-11-12 01:00","15.79","382642"
"2013-11-13 01:00","15.72","225592"
"2013-11-14 01:00","15.8","255851"
"2013-11-15 01:00","15.83","260273"
"2013-11-18 01:00","16.07","306218"
"2013-11-19 01:00","15.99","116358"
"2013-11-20 01:00","16.06","262778"
"2013-11-21 01:00","16","194709"
"2013-11-22 01:00","16","309948"
"2013-11-25 01:00","16.08","387637"
"2013-11-26 01:00","16","1441397"
"2013-11-27 01:00","15.84","243871"
"2013-11-28 01:00","15.6","259148"
"2013-11-29 01:00","15.65","347039"
"2013-12-02 01:00","15.89","218403"
"2013-12-03 01:00","15.75","313613"
"2013-12-04 01:00","15.74","236567"
"2013-12-05 01:00","15.88","620087"
"2013-12-06 01:00","16.1","320178"
"2013-12-09 01:00","15.44","416790"
"2013-12-10 01:00","15.24","255613"
"2013-12-11 01:00","14.43","4294274"
"2013-12-12 01:00","14.28","932227"
"2013-12-13 01:00","14.3","603526"
"2013-12-16 01:00","14.35","508064"
"2013-12-17 01:00","14.25","612725"
"2013-12-18 01:00","14.39","617776"
"2013-12-19 01:00","14.29","793086"
"2013-12-20 01:00","14.5","1276703"
"2013-12-23 01:00","14.05","1098654"
"2013-12-24 01:00","14","307334"
"2013-12-27 01:00","14.22","274633"
"2013-12-30 01:00","14.06","300273"
"2013-12-31 01:00","14.21","81250"
"2014-01-02 01:00","14.17","228092"
"2014-01-03 01:00","14.25","292435"
"2014-01-06 01:00","14.22","288526"
"2014-01-07 01:00","14.25","291571"
"2014-01-08 01:00","14.46","320813"
"2014-01-09 01:00","14.36","415839"
"2014-01-10 01:00","14.5","524471"
"2014-01-13 01:00","14.27","1160421"
"2014-01-14 01:00","14.3","237612"
"2014-01-15 01:00","14.27","311671"
"2014-01-16 01:00","14.31","234660"
"2014-01-17 01:00","14.41","740437"
"2014-01-20 01:00","14.46","456996"
"2014-01-21 01:00","14.48","454133"
"2014-01-22 01:00","14.45","620856"
"2014-01-23 01:00","14.25","959400"
"2014-01-24 01:00","14.39","1888708"
"2014-01-27 01:00","14.4","662325"
"2014-01-28 01:00","14.37","458749"
"2014-01-29 01:00","14.39","283270"
"2014-01-30 01:00","14.42","409770"
"2014-01-31 01:00","14.45","323419"
"2014-02-03 01:00","14.53","611174"
"2014-02-04 01:00","14.4","446935"
"2014-02-05 01:00","14.48","517998"
"2014-02-06 01:00","14.4","421138"
"2014-02-07 01:00","14.35","251761"
"2014-02-10 01:00","14.6","404886"
"2014-02-11 01:00","14.73","317281"
"2014-02-12 01:00","15.25","1486332"
"2014-02-13 01:00","15.31","610438"
"2014-02-14 01:00","15.3","543436"
"2014-02-17 01:00","15.3","258568"
"2014-02-18 01:00","15.32","493613"
"2014-02-19 01:00","15.24","399466"
"2014-02-20 01:00","15.3","357684"
"2014-02-21 01:00","15.24","181694"
"2014-02-24 01:00","15.05","461073"
"2014-02-25 01:00","15.18","613229"
"2014-02-26 01:00","15.2","446930"
"2014-02-27 01:00","15.25","467338"
"2014-02-28 01:00","15.35","429105"
"2014-03-03 01:00","15.2","178390"
"2014-03-04 01:00","15.13","230077"
"2014-03-05 01:00","15.13","215273"
"2014-03-06 01:00","15.35","197398"
"2014-03-07 01:00","15.11","223077"
"2014-03-10 01:00","15.31","822805"
"2014-03-11 01:00","16","1617111"
"2014-03-12 01:00","15.72","412813"
"2014-03-13 01:00","15.8","266134"
"2014-03-14 01:00","15.85","382824"
"2014-03-17 01:00","15.7","204716"
"2014-03-18 01:00","15.8","236804"
"2014-03-19 01:00","15.54","276792"
"2014-03-20 01:00","15.57","213734"
"2014-03-21 01:00","15.53","533766"
"2014-03-24 01:00","15.56","327631"
"2014-03-25 01:00","15.85","387190"
"2014-03-26 01:00","15.97","897111"
"2014-03-27 01:00","16.1","500201"
"2014-03-28 01:00","16.24","270258"
"2014-03-31 02:00","16.25","267957"
"2014-04-01 02:00","16.33","645705"
"2014-04-02 02:00","16.55","392991"
"2014-04-03 02:00","16.55","235049"
"2014-04-04 02:00","16.5","205272"
"2014-04-07 02:00","16.31","197555"
"2014-04-08 02:00","16.26","203705"
"2014-04-09 02:00","16.45","377315"
"2014-04-10 02:00","16.7","558767"
"2014-04-11 02:00","16.56","271197"
"2014-04-14 02:00","16.55","419087"
"2014-04-15 02:00","16.395","262026"
"2014-04-16 02:00","16.2","270303"
"2014-04-17 02:00","16.44","231739"
"2014-04-22 02:00","16.485","189964"
"2014-04-23 02:00","16.5","118653"
"2014-04-24 02:00","16.5","146332"
"2014-04-25 02:00","16.45","91558"
"2014-04-28 02:00","16.255","178858"
"2014-04-29 02:00","16.34","190944"
"2014-04-30 02:00","16.235","223566"
"2014-05-02 02:00","16.2","241172"
"2014-05-05 02:00","16.2","119807"
"2014-05-06 02:00","16.24","90265"
"2014-05-07 02:00","16.3","141586"
"2014-05-08 02:00","17.32","972940"
"2014-05-09 02:00","17.385","267226"
"2014-05-12 02:00","17.765","380351"
"2014-05-13 02:00","17.9","284842"
"2014-05-14 02:00","17.81","216991"
"2014-05-15 02:00","17.915","300353"
"2014-05-16 02:00","17.955","287651"
"2014-05-19 02:00","18.015","421348"
"2014-05-20 02:00","18.045","204115"
"2014-05-21 02:00","18.13","131054"
"2014-05-22 02:00","18.29","239317"
"2014-05-23 02:00","18.015","368133"
"2014-05-26 02:00","17.97","198234"
"2014-05-27 02:00","18.04","123748"
"2014-05-28 02:00","18.035","150577"
"2014-05-29 02:00","18.02","93070"
"2014-05-30 02:00","18.48","633371"
"2014-06-02 02:00","18.85","426638"
"2014-06-03 02:00","18.54","218268"
"2014-06-04 02:00","18.645","191821"
"2014-06-05 02:00","18.775","153970"
"2014-06-06 02:00","18.74","91691"
"2014-06-09 02:00","18.77","67063"
"2014-06-10 02:00","18.8","138084"
"2014-06-11 02:00","18.95","314129"
"2014-06-12 02:00","18.84","188643"
"2014-06-13 02:00","18.75","180433"
"2014-06-16 02:00","18.61","65173"
"2014-06-17 02:00","18.51","224268"
"2014-06-18 02:00","18.6","131499"
"2014-06-19 02:00","18.55","104428"
"2014-06-20 02:00","18.39","213185"
"2014-06-23 02:00","18.315","130220"
"2014-06-24 02:00","18.64","175242"
"2014-06-25 02:00","18.445","202682"
"2014-06-26 02:00","18.35","167854"
"2014-06-27 02:00","18.37","520139"
"2014-06-30 02:00","18.45","198501"
"2014-07-01 02:00","18.45","177290"
"2014-07-02 02:00","18.48","159638"
"2014-07-03 02:00","18.68","134999"
"2014-07-04 02:00","18.76","76431"
"2014-07-07 02:00","18.75","129621"
"2014-07-08 02:00","18.725","152222"
"2014-07-09 02:00","18.79","133911"
"2014-07-10 02:00","18.58","321796"
"2014-07-11 02:00","18.92","191661"
"2014-07-14 02:00","19.09","155487"
"2014-07-15 02:00","19.45","413164"
"2014-07-16 02:00","19.49","388945"
"2014-07-17 02:00","19.695","196173"
"2014-07-18 02:00","19.425","192649"
"2014-07-21 02:00","19.69","174836"
"2014-07-22 02:00","19.545","234583"
"2014-07-23 02:00","19.59","168704"
"2014-07-24 02:00","19.455","227007"
"2014-07-25 02:00","19.115","161844"
"2014-07-28 02:00","19","165776"
"2014-07-29 02:00","18.875","137897"
"2014-07-30 02:00","18.62","292613"
"2014-07-31 02:00","18.77","208230"
"2014-08-01 02:00","18.7","151234"
"2014-08-04 02:00","18.575","171969"
"2014-08-05 02:00","18.79","317590"
"2014-08-06 02:00","18.33","266152"
"2014-08-07 02:00","17.58","800262"
"2014-08-08 02:00","18.005","390896"
"2014-08-11 02:00","18.14","291853"
"2014-08-12 02:00","18.345","249127"
"2014-08-13 02:00","18.78","170719"
"2014-08-14 02:00","18.805","148916"
"2014-08-15 02:00","18.49","125761"
"2014-08-18 02:00","18.81","103712"
"2014-08-19 02:00","18.8","150413"
"2014-08-20 02:00","18.72","142644"
"2014-08-21 02:00","18.725","133218"
"2014-08-22 02:00","18.6","159626"
"2014-08-25 02:00","18.675","69648"
"2014-08-26 02:00","18.76","221144"
"2014-08-27 02:00","18.94","123992"
"2014-08-28 02:00","18.8","154635"
"2014-08-29 02:00","18.745","311994"
"2014-09-01 02:00","18.61","60469"
"2014-09-02 02:00","18.57","107823"
"2014-09-03 02:00","18.65","196307"
"2014-09-04 02:00","18.62","112672"
"2014-09-05 02:00","18.675","123302"
"2014-09-08 02:00","18.72","126573"
"2014-09-09 02:00","18.665","112883"
"2014-09-10 02:00","18.625","178936"
"2014-09-11 02:00","18.675","136273"
"2014-09-12 02:00","18.75","83424"
"2014-09-15 02:00","18.91","168956"
"2014-09-16 02:00","19.075","384988"
"2014-09-17 02:00","19.33","115436"
"2014-09-18 02:00","19.24","125710"
"2014-09-19 02:00","19.4","873109"
