"time","FLOW TRADERS","FLOW TRADERS( volume )"
"2015-07-10 02:00","36.2","3629255"
"2015-07-13 02:00","36.15","330762"
"2015-07-14 02:00","36.95","161329"
"2015-07-15 02:00","38.5","163705"
"2015-07-16 02:00","38.35","132638"
"2015-07-17 02:00","38.35","69809"
"2015-07-20 02:00","38","19065"
"2015-07-21 02:00","38.24","47638"
"2015-07-22 02:00","38","36636"
"2015-07-23 02:00","38","66677"
"2015-07-24 02:00","38.21","24313"
"2015-07-27 02:00","37.49","46252"
"2015-07-28 02:00","37.5","37666"
"2015-07-29 02:00","37.25","21902"
"2015-07-30 02:00","37.3","28647"
"2015-07-31 02:00","37.495","42144"
"2015-08-03 02:00","37.45","22250"
"2015-08-04 02:00","37.65","50041"
"2015-08-05 02:00","37.5","58858"
"2015-08-06 02:00","36.48","71512"
"2015-08-07 02:00","36.255","81801"
"2015-08-10 02:00","36.15","33232"
"2015-08-11 02:00","36.6","22647"
"2015-08-12 02:00","36.05","10286"
"2015-08-13 02:00","36.1","36256"
"2015-08-14 02:00","36.1","13924"
"2015-08-17 02:00","36.42","38626"
"2015-08-18 02:00","38.5","44714"
"2015-08-19 02:00","36.47","163740"
"2015-08-20 02:00","35.95","46785"
"2015-08-21 02:00","35.685","26602"
"2015-08-24 02:00","34.12","74348"
"2015-08-25 02:00","37","43454"
"2015-08-26 02:00","36.975","40859"
"2015-08-27 02:00","38.3","38543"
"2015-08-28 02:00","37.29","33988"
"2015-08-31 02:00","37.995","5328"
"2015-09-01 02:00","37.055","9215"
"2015-09-02 02:00","37.05","5016"
"2015-09-03 02:00","37.05","23943"
"2015-09-04 02:00","36.875","9688"
"2015-09-07 02:00","37.205","8190"
"2015-09-08 02:00","37.005","11376"
"2015-09-09 02:00","37.4","8054"
"2015-09-10 02:00","37.255","5589"
"2015-09-11 02:00","36.675","24994"
"2015-09-14 02:00","36.3","13469"
"2015-09-15 02:00","36.645","56331"
"2015-09-16 02:00","36.67","35354"
"2015-09-17 02:00","36.465","3707"
"2015-09-18 02:00","36.505","48419"
"2015-09-21 02:00","36.73","7285"
"2015-09-22 02:00","36.75","33679"
"2015-09-23 02:00","37.375","3502"
"2015-09-24 02:00","36","30467"
"2015-09-25 02:00","35.5","48223"
"2015-09-28 02:00","35","85482"
"2015-09-29 02:00","34.55","115854"
"2015-09-30 02:00","34.87","8887"
"2015-10-01 02:00","34.625","18064"
"2015-10-02 02:00","35.835","9883"
"2015-10-05 02:00","36.795","63430"
"2015-10-06 02:00","36.31","57507"
"2015-10-07 02:00","36.04","30160"
"2015-10-08 02:00","35.73","27757"
"2015-10-09 02:00","35.775","5634"
"2015-10-12 02:00","35.045","13224"
"2015-10-13 02:00","35","32644"
"2015-10-14 02:00","34.99","23628"
"2015-10-15 02:00","34.95","111723"
"2015-10-16 02:00","34.755","8053"
"2015-10-19 02:00","34.55","46581"
"2015-10-20 02:00","35.06","47577"
"2015-10-21 02:00","35.325","12017"
"2015-10-22 02:00","35.5","6531"
"2015-10-23 02:00","35.495","32803"
"2015-10-26 01:00","35.835","9358"
"2015-10-27 01:00","35.38","12315"
"2015-10-28 01:00","35.3","24274"
"2015-10-29 01:00","35.51","18394"
"2015-10-30 01:00","35.495","14193"
"2015-11-02 01:00","35.13","7543"
"2015-11-03 01:00","34.955","20851"
"2015-11-04 01:00","35.49","51685"
"2015-11-05 01:00","35.45","8712"
"2015-11-06 01:00","35.05","33459"
"2015-11-09 01:00","35.59","36224"
"2015-11-10 01:00","35.49","69678"
"2015-11-11 01:00","35.565","5446"
"2015-11-12 01:00","35.6","10314"
"2015-11-13 01:00","37.005","256595"
"2015-11-16 01:00","38.21","127524"
"2015-11-17 01:00","39.6","149051"
"2015-11-18 01:00","39.75","99845"
"2015-11-19 01:00","40.2","74555"
"2015-11-20 01:00","40.1","72521"
"2015-11-23 01:00","40.02","52085"
"2015-11-24 01:00","40","26207"
"2015-11-25 01:00","40.145","50951"
"2015-11-26 01:00","41.41","46387"
"2015-11-27 01:00","41.69","40749"
"2015-11-30 01:00","42.71","564107"
"2015-12-01 01:00","42.05","63857"
"2015-12-02 01:00","42.3","47727"
"2015-12-03 01:00","43","39353"
"2015-12-04 01:00","44","45084"
"2015-12-07 01:00","44.285","96519"
"2015-12-08 01:00","43.595","52888"
"2015-12-09 01:00","43.785","70863"
"2015-12-10 01:00","43.55","57006"
"2015-12-11 01:00","43.49","46629"
"2015-12-14 01:00","45.975","100025"
"2015-12-15 01:00","47.4","169807"
"2015-12-16 01:00","48.15","65321"
"2015-12-17 01:00","48.68","40512"
"2015-12-18 01:00","47.82","40635"
"2015-12-21 01:00","46.07","47886"
"2015-12-22 01:00","45.9","84710"
"2015-12-23 01:00","45.705","30135"
"2015-12-24 01:00","45.35","29363"
"2015-12-28 01:00","45.13","26478"
"2015-12-29 01:00","45.185","71075"
"2015-12-30 01:00","45.29","45251"
"2015-12-31 01:00","45.345","12548"
"2016-01-04 01:00","47.25","112438"
"2016-01-05 01:00","47.115","78338"
"2016-01-06 01:00","45.69","44686"
"2016-01-07 01:00","44.895","188424"
"2016-01-08 01:00","45.05","93590"
"2016-01-11 01:00","43.895","63401"
"2016-01-12 01:00","44.805","41821"
"2016-01-13 01:00","45.175","94275"
"2016-01-14 01:00","44.25","60454"
"2016-01-15 01:00","43.365","48281"
"2016-01-18 01:00","42.425","74218"
"2016-01-19 01:00","44","69722"
"2016-01-20 01:00","44.165","82150"
"2016-01-21 01:00","43.43","72524"
"2016-01-22 01:00","43.99","21989"
"2016-01-25 01:00","44.835","51705"
"2016-01-26 01:00","44.465","36658"
"2016-01-27 01:00","44.2","72703"
"2016-01-28 01:00","43.86","41367"
"2016-01-29 01:00","46.665","82033"
"2016-02-01 01:00","48.31","66285"
"2016-02-02 01:00","49.32","141368"
"2016-02-03 01:00","47.72","83806"
"2016-02-04 01:00","48","77920"
"2016-02-05 01:00","45.915","60086"
"2016-02-08 01:00","44.135","117417"
"2016-02-09 01:00","41.665","127096"
"2016-02-10 01:00","43.11","69905"
"2016-02-11 01:00","42.055","98768"
"2016-02-12 01:00","43.4","306644"
"2016-02-15 01:00","45.285","49755"
"2016-02-16 01:00","44.38","33607"
"2016-02-17 01:00","43.62","32215"
"2016-02-18 01:00","43.85","46988"
"2016-02-19 01:00","44.5","29095"
"2016-02-22 01:00","45.4","19783"
"2016-02-23 01:00","44.75","41918"
"2016-02-24 01:00","39.86","444454"
"2016-02-25 01:00","38.525","145268"
"2016-02-26 01:00","36.89","132841"
"2016-02-29 01:00","38.315","189367"
"2016-03-01 01:00","38.99","92747"
"2016-03-02 01:00","38.5","75935"
"2016-03-03 01:00","38.995","89330"
"2016-03-04 01:00","39","67318"
"2016-03-07 01:00","38.955","47853"
"2016-03-08 01:00","37.75","45825"
"2016-03-09 01:00","37.955","34481"
"2016-03-10 01:00","38.25","126340"
"2016-03-11 01:00","39","92690"
"2016-03-14 01:00","39.58","45608"
