"time","KPN KON","KPN KON( volume )"
"2001-09-10 02:00","1.4354821","48005828"
"2001-09-11 02:00","1.3044875","61901921"
"2001-09-12 02:00","1.6101415","28678646"
"2001-09-13 02:00","1.7247617","23961248"
"2001-09-14 02:00","1.4900631","20433884"
"2001-09-17 02:00","1.5173537","17184622"
"2001-09-18 02:00","1.6101415","17000172"
"2001-09-19 02:00","1.637432","19119088"
"2001-09-20 02:00","1.5610185","15135201"
"2001-09-21 02:00","1.4354821","35861129"
"2001-09-24 02:00","1.6155996","28216750"
"2001-09-25 02:00","1.6428901","20671816"
"2001-09-26 02:00","1.6319739","13837111"
"2001-09-27 02:00","1.6647225","10801942"
"2001-09-28 02:00","1.637432","12407233"
"2001-10-01 02:00","1.637432","6585122"
"2001-10-02 02:00","1.6647225","8236657"
"2001-10-03 02:00","1.637432","4629166"
"2001-10-04 02:00","1.6974712","16164719"
"2001-10-05 02:00","1.7848009","17297236"
"2001-10-08 02:00","1.741136","15427974"
"2001-10-09 02:00","1.8994211","24414231"
"2001-10-10 02:00","1.9922089","18916486"
"2001-10-11 02:00","2.0194995","25215280"
"2001-10-12 02:00","1.9157955","15546904"
"2001-10-15 02:00","1.8066333","12405749"
"2001-10-16 02:00","1.8230076","16170358"
"2001-10-17 02:00","2.0686224","30848362"
"2001-10-18 02:00","2.0358738","10984818"
"2001-10-19 02:00","1.8994211","14897367"
"2001-10-22 02:00","2.0194995","6248863"
"2001-10-23 02:00","2.2814886","34916818"
"2001-10-24 02:00","2.3961088","30266035"
"2001-10-25 02:00","2.3415278","36024844"
"2001-10-26 02:00","2.4834385","17107777"
"2001-10-29 01:00","2.3742764","17983327"
"2001-10-30 01:00","2.2760305","25441588"
"2001-10-31 01:00","2.3469859","20922938"
"2001-11-01 01:00","2.4834385","15750568"
"2001-11-02 01:00","2.7072209","36738452"
"2001-11-05 01:00","2.8382155","31559075"
"2001-11-06 01:00","3.0019587","47521849"
"2001-11-07 01:00","3.2475735","40356686"
"2001-11-08 01:00","3.1274951","39518119"
"2001-11-09 01:00","2.7399696","32331196"
"2001-11-12 01:00","2.608975","23876803"
"2001-11-13 01:00","2.96921","20577734"
"2001-11-14 01:00","2.9528357","25466354"
"2001-11-15 01:00","3.4386072","61362419"
"2001-11-16 01:00","3.7660936","49999215"
"2001-11-19 01:00","3.6023504","47865389"
"2001-11-20 01:00","3.2857802","43680009"
"2001-11-21 01:00","2.7235952","188556700"
"2001-11-22 01:00","2.9965006","56992244"
"2001-11-23 01:00","3.2039086","70957583"
"2001-11-26 01:00","3.2912383","49902020"
"2001-11-27 01:00","3.067456","42882571"
"2001-11-28 01:00","2.865506","57673442"
"2001-11-29 01:00","2.8218412","26566296"
"2001-11-30 01:00","2.7836344","22459687"
"2001-12-03 01:00","2.7017628","29720359"
"2001-12-04 01:00","2.7290534","82576095"
"2001-12-05 01:00","2.9200871","130091700"
"2001-12-06 01:00","2.7890925","171738980"
"2001-12-07 01:00","3.1056627","185243940"
"2001-12-10 01:00","3.0347073","43115253"
"2001-12-11 01:00","3.220283","51074570"
"2001-12-12 01:00","3.2366573","61764223"
"2001-12-13 01:00","3.0292492","49282285"
"2001-12-14 01:00","3.0456235","32758357"
"2001-12-17 01:00","3.0947465","22737881"
"2001-12-18 01:00","3.1657019","21124571"
"2001-12-19 01:00","3.1602438","35648687"
"2001-12-20 01:00","3.0292492","16756756"
"2001-12-21 01:00","3.1329532","22187162"
"2001-12-24 01:00","3.1657019","3721791"
"2001-12-27 01:00","3.1657019","8696541"
"2001-12-28 01:00","3.1165789","12247250"
"2002-01-02 01:00","3.1438695","13479214"
"2002-01-03 01:00","3.3567356","48146633"
"2002-01-04 01:00","3.4113167","49070408"
"2002-01-07 01:00","3.2803221","26688161"
"2002-01-08 01:00","3.3076127","22788805"
"2002-01-09 01:00","3.4058586","30269126"
"2002-01-10 01:00","3.2148248","40715675"
"2002-01-11 01:00","3.3294451","20131624"
"2002-01-14 01:00","3.2311992","15767460"
"2002-01-15 01:00","3.3185289","13657146"
"2002-01-16 01:00","3.2530316","15982828"
"2002-01-17 01:00","3.4113167","32117155"
"2002-01-18 01:00","3.4822721","20289953"
