"time","POSTNL","POSTNL( volume )"
"2001-09-10 02:00","10.099523","2550678"
"2001-09-11 02:00","9.3905378","3009896"
"2001-09-12 02:00","9.2684608","2776708"
"2001-09-13 02:00","9.1745554","2290216"
"2001-09-14 02:00","8.1697679","2554546"
"2001-09-17 02:00","8.7332002","6896453"
"2001-09-18 02:00","9.0149163","3685344"
"2001-09-19 02:00","9.3435851","3835201"
"2001-09-20 02:00","9.0853453","3005638"
"2001-09-21 02:00","8.6862475","5517803"
"2001-09-24 02:00","8.6580759","4523841"
"2001-09-25 02:00","8.9679636","4117624"
"2001-09-26 02:00","9.7004255","5187916"
"2001-09-27 02:00","9.7098161","2153125"
"2001-09-28 02:00","9.8553694","2768091"
"2001-10-01 02:00","10.235686","4428873"
"2001-10-02 02:00","10.268553","2992889"
"2001-10-03 02:00","10.005618","3069383"
"2001-10-04 02:00","10.184038","3321239"
"2001-10-05 02:00","10.522098","2346698"
"2001-10-08 02:00","10.428192","1979454"
"2001-10-09 02:00","10.498621","1260501"
"2001-10-10 02:00","10.329592","1599240"
"2001-10-11 02:00","10.414106","3416096"
"2001-10-12 02:00","10.592527","2809726"
"2001-10-15 02:00","10.357763","2863338"
"2001-10-16 02:00","9.7192066","3480608"
"2001-10-17 02:00","9.9962275","3868341"
"2001-10-18 02:00","9.8084167","3442712"
"2001-10-19 02:00","9.813112","1754017"
"2001-10-22 02:00","9.7661593","1682937"
"2001-10-23 02:00","9.8600647","1459326"
"2001-10-24 02:00","10.141781","3170242"
"2001-10-25 02:00","9.6253012","4407927"
"2001-10-26 02:00","9.9398843","1988534"
"2001-10-29 01:00","9.9070174","1512838"
"2001-10-30 01:00","9.8788458","1453576"
"2001-10-31 01:00","10.198124","2185266"
"2001-11-01 01:00","10.235686","2068305"
"2001-11-02 01:00","9.8600647","2298222"
"2001-11-05 01:00","10.207515","2572061"
"2001-11-06 01:00","10.705213","3405505"
"2001-11-07 01:00","10.73808","2715446"
"2001-11-08 01:00","10.766252","1840525"
"2001-11-09 01:00","10.723994","1483979"
"2001-11-12 01:00","10.254467","1278010"
"2001-11-13 01:00","10.846071","3670955"
"2001-11-14 01:00","10.799118","2362091"
"2001-11-15 01:00","10.282639","4592678"
"2001-11-16 01:00","10.338982","6850168"
"2001-11-19 01:00","10.799118","2117981"
"2001-11-20 01:00","10.799118","2338661"
"2001-11-21 01:00","10.564355","2180369"
"2001-11-22 01:00","10.592527","1360634"
"2001-11-23 01:00","10.611308","912482"
"2001-11-26 01:00","10.742775","2256150"
"2001-11-27 01:00","10.65826","1982359"
"2001-11-28 01:00","10.353068","2052285"
"2001-11-29 01:00","10.611308","2169277"
"2001-11-30 01:00","10.705213","2920459"
"2001-12-03 01:00","10.752166","2586538"
"2001-12-04 01:00","11.273341","3556416"
"2001-12-05 01:00","11.268645","7988808"
"2001-12-06 01:00","11.198216","3104338"
"2001-12-07 01:00","11.479932","1714038"
"2001-12-10 01:00","11.202912","1976773"
"2001-12-11 01:00","11.109006","3165482"
"2001-12-12 01:00","10.968148","3432949"
"2001-12-13 01:00","10.822595","2210067"
"2001-12-14 01:00","10.709908","1732254"
"2001-12-17 01:00","10.963453","2125942"
"2001-12-18 01:00","11.202912","3262054"
"2001-12-19 01:00","11.268645","4195817"
"2001-12-20 01:00","11.033882","1315925"
"2001-12-21 01:00","11.287426","2566709"
"2001-12-24 01:00","11.231083","143555"
"2001-12-27 01:00","11.315598","859857"
"2001-12-28 01:00","11.409503","879896"
"2002-01-02 01:00","11.456456","1400912"
"2002-01-03 01:00","11.221693","2247718"
"2002-01-04 01:00","11.104311","2850929"
"2002-01-07 01:00","11.123092","1251460"
