AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,51%;04/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,51%;05/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,62%;06/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,62%;07/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,62%;08/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,62%;09/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,62%;10/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,62%;11/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,62%;12/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,62%;13/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,62%;14/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,62%;15/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,62%;16/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,62%;17/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,62%;18/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,62%;19/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,62%;20/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,62%;21/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,71%;22/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,71%;23/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,71%;24/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,71%;25/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,71%;26/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,71%;27/02/2013
Marshall Wace LLP;Proximus;BE0003810273;0,50%;27/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,71%;28/02/2013
Marshall Wace LLP;Proximus;BE0003810273;0,50%;28/02/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,71%;01/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,50%;01/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,71%;02/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,50%;02/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,71%;03/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,50%;03/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,71%;04/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,50%;04/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,86%;05/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,50%;05/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,86%;06/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,50%;06/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,86%;07/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,50%;07/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,92%;08/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;08/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,92%;09/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;09/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;0,92%;10/03/2013
