"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0.79";"2020-04-30 00:00:00"
"BlueCrest Capital Management Limited";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.98";"2020-04-30 00:00:00"
"Citadel Advisors LLC";"Koninklijke BAM Groep N.V.";"NL0000337319";"1.16";"2020-04-30 00:00:00"
"Citadel Advisors LLC";"Pharming Group N.V.";"NL0010391025";"0.37";"2020-04-30 00:00:00"
"Citadel Advisors LLC";"Wereldhave N.V.";"NL0000289213";"0.49";"2020-04-30 00:00:00"
"Clearance Capital Limited";"Eurocommercial Properties N.V.";"NL0000288876";"0.77";"2020-04-30 00:00:00"
"CQS (UK) LLP";"BE Semiconductor Industries N.V.";"NL0012866412";"0.76";"2020-04-30 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1.63";"2020-04-30 00:00:00"
"Linden Advisors LP";"Pharming Group N.V.";"NL0010391025";"1.26";"2020-04-30 00:00:00"
"Marshall Wace LLP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"1.22";"2020-04-30 00:00:00"
"Marshall Wace LLP";"Unibail-Rodamco SE";"FR0013326246";"0.50";"2020-04-30 00:00:00"
"Oceanwood Capital Management Limited";"ARCADIS N.V.";"NL0006237562";"0.60";"2020-04-30 00:00:00"
"Renaissance Technologies LLC";"ASR Nederland N.V.";"NL0011872643";"0.50";"2020-04-30 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"3.23";"2020-04-30 00:00:00"
"Susquehanna International Securities Limited";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.57";"2020-04-30 00:00:00"
"Systematica Investments Limited";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.80";"2020-04-30 00:00:00"
"Voleon Capital Management LP";"Flow Traders N.V.";"NL0011279492";"1.19";"2020-04-30 00:00:00"
"Voleon Capital Management LP";"Fugro N.V.";"NL0000352565";"0.48";"2020-04-30 00:00:00"
"AQR Capital Management, LLC";"ArcelorMittal S.A.";"LU1598757687";"0.69";"2020-04-29 00:00:00"
"Citadel Advisors LLC";"Pharming Group N.V.";"NL0010391025";"0.59";"2020-04-29 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1.55";"2020-04-29 00:00:00"
"HBK Investments LP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.84";"2020-04-29 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"3.01";"2020-04-29 00:00:00"
"Marshall Wace LLP";"Galapagos N.V.";"BE0003818359";"0.69";"2020-04-29 00:00:00"
"Sandbar Assest Management LLP";"Signify N.V.";"NL0011821392";"0.70";"2020-04-29 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"3.18";"2020-04-29 00:00:00"
"WorldQuant, LLC";"Koninklijke BAM Groep N.V.";"NL0000337319";"1.26";"2020-04-29 00:00:00"
"Citadel Advisors LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.82";"2020-04-28 00:00:00"
"Citadel Advisors LLC";"Koninklijke BAM Groep N.V.";"NL0000337319";"1.25";"2020-04-28 00:00:00"
"Citadel Advisors LLC";"Pharming Group N.V.";"NL0010391025";"0.67";"2020-04-28 00:00:00"
"CQS (UK) LLP";"BE Semiconductor Industries N.V.";"NL0012866412";"0.68";"2020-04-28 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1.60";"2020-04-28 00:00:00"
"Marshall Wace LLP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"1.38";"2020-04-28 00:00:00"
"Voleon Capital Management LP";"Flow Traders N.V.";"NL0011279492";"1.26";"2020-04-28 00:00:00"
"Voleon Capital Management LP";"PostNL N.V.";"NL0009739416";"1.00";"2020-04-28 00:00:00"
"Whitebox Advisors LLC";"Fugro N.V.";"NL0000352565";"1.34";"2020-04-28 00:00:00"
"WorldQuant, LLC";"Alfen N.V.";"NL0012817175";"0.93";"2020-04-28 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.69";"2020-04-27 00:00:00"
"Citadel Advisors LLC";"Koninklijke BAM Groep N.V.";"NL0000337319";"1.31";"2020-04-27 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1.58";"2020-04-27 00:00:00"
"Marshall Wace LLP";"Flow Traders N.V.";"NL0011279492";"1.98";"2020-04-27 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"2.98";"2020-04-27 00:00:00"
"Marshall Wace LLP";"SBM Offshore N.V.";"NL0000360618";"1.47";"2020-04-27 00:00:00"
"The Mangrove Partners Master Fund Limited";"Fugro N.V.";"NL0000352565";"0.77";"2020-04-27 00:00:00"
"Voleon Capital Management LP";"Flow Traders N.V.";"NL0011279492";"1.35";"2020-04-27 00:00:00"
"BNP Paribas S.A.";"Just Eat Takeaway.com N.V.";"NL0012015705";"0.63";"2020-04-24 00:00:00"
"Citadel Advisors LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.74";"2020-04-24 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1.41";"2020-04-24 00:00:00"
"Marshall Wace LLP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"1.46";"2020-04-24 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"2.89";"2020-04-24 00:00:00"
"Oceanwood Capital Management Limited";"ARCADIS N.V.";"NL0006237562";"0.50";"2020-04-24 00:00:00"
"Voleon Capital Management LP";"Flow Traders N.V.";"NL0011279492";"1.44";"2020-04-24 00:00:00"
"WorldQuant, LLC";"Alfen N.V.";"NL0012817175";"0.83";"2020-04-24 00:00:00"
"WorldQuant, LLC";"Koninklijke BAM Groep N.V.";"NL0000337319";"1.30";"2020-04-24 00:00:00"
"Adage Capital Management L.P.";"ArcelorMittal S.A.";"LU1598757687";"0.91";"2020-04-23 00:00:00"
"BNP Paribas S.A.";"Just Eat Takeaway.com N.V.";"NL0012015705";"0.58";"2020-04-23 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1.39";"2020-04-23 00:00:00"
"HBK Investments LP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.93";"2020-04-23 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"2.34";"2020-04-23 00:00:00"
"Sandbar Assest Management LLP";"Signify N.V.";"NL0011821392";"0.84";"2020-04-23 00:00:00"
"Atalan Capital Partners, LP";"Signify N.V.";"NL0011821392";"0.53";"2020-04-22 00:00:00"
"Citadel Advisors LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.62";"2020-04-22 00:00:00"
"Citadel Advisors LLC";"Koninklijke BAM Groep N.V.";"NL0000337319";"1.20";"2020-04-22 00:00:00"
"Marshall Wace LLP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"1.57";"2020-04-22 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1.97";"2020-04-22 00:00:00"
"Marshall Wace LLP";"SBM Offshore N.V.";"NL0000360618";"1.50";"2020-04-22 00:00:00"
"Sandbar Assest Management LLP";"Signify N.V.";"NL0011821392";"0.71";"2020-04-22 00:00:00"
"Systematica Investments Limited";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.70";"2020-04-22 00:00:00"
"Voleon Capital Management LP";"Fugro N.V.";"NL0000352565";"0.58";"2020-04-22 00:00:00"
"Voleon Capital Management LP";"PostNL N.V.";"NL0009739416";"0.90";"2020-04-22 00:00:00"
"Whitebox Advisors LLC";"Fugro N.V.";"NL0000352565";"1.29";"2020-04-22 00:00:00"
"WorldQuant, LLC";"Alfen N.V.";"NL0012817175";"0.71";"2020-04-22 00:00:00"
"WorldQuant, LLC";"Koninklijke BAM Groep N.V.";"NL0000337319";"1.20";"2020-04-22 00:00:00"
"Citadel Advisors LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.54";"2020-04-21 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1.40";"2020-04-21 00:00:00"
"Linden Advisors LP";"Pharming Group N.V.";"NL0010391025";"1.18";"2020-04-21 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1.72";"2020-04-21 00:00:00"
"Sandbar Assest Management LLP";"Signify N.V.";"NL0011821392";"0.91";"2020-04-21 00:00:00"
