"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"BlackRock Institutional Trust Company, National Association";"OCI N.V.";"NL0010558797";"0.49";"2020-04-28 00:00:00"
"Citadel Advisors LLC";"PostNL N.V.";"NL0009739416";"0.42";"2020-04-28 00:00:00"
"GLG Partners LP";"Wereldhave N.V.";"NL0000289213";"0.47";"2020-04-28 00:00:00"
"Voleon Capital Management LP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.48";"2020-04-27 00:00:00"
"BlackRock Investment Management (UK) Limited";"Signify N.V.";"NL0011821392";"0.39";"2020-04-24 00:00:00"
"Voleon Capital Management LP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.56";"2020-04-24 00:00:00"
"Citadel Advisors LLC";"PostNL N.V.";"NL0009739416";"0.57";"2020-04-23 00:00:00"
"GLG Partners LP";"Wereldhave N.V.";"NL0000289213";"0.54";"2020-04-23 00:00:00"
"AKO Capital LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.45";"2020-04-22 00:00:00"
"Citadel Advisors LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.49";"2020-04-22 00:00:00"
"Voleon Capital Management LP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.67";"2020-04-22 00:00:00"
"AKO Capital LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.63";"2020-04-21 00:00:00"
"Marshall Wace LLP";"Adyen N.V.";"NL0012969182";"0.44";"2020-04-21 00:00:00"
"Numeric Investors LLC";"Galapagos N.V.";"BE0003818359";"0.47";"2020-04-21 00:00:00"
"AKO Capital LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.94";"2020-04-20 00:00:00"
"Voleon Capital Management LP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.74";"2020-04-20 00:00:00"
"Woodline Partners";"Pharming Group N.V.";"NL0010391025";"0.48";"2020-04-20 00:00:00"
"BlackRock Institutional Trust Company, National Association";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.44";"2020-04-17 00:00:00"
"Kuvari Partners LLP";"ARCADIS N.V.";"NL0006237562";"0.45";"2020-04-17 00:00:00"
"Tybourne Capital Management (HK) Limited";"Signify N.V.";"NL0011821392";"0.00";"2020-04-17 00:00:00"
"Arrowstreet Capital, Limited Partnership";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.48";"2020-04-16 00:00:00"
"Citadel Europe LLP";"AEGON N.V.";"NL0000303709";"0.49";"2020-04-16 00:00:00"
